itype,source,value
bot_ip,Botscout BOT IPs,104.207.45.139
bot_ip,Botscout BOT IPs,185.230.44.196
bot_ip,Botscout BOT IPs,190.185.108.238
bot_ip,Botscout BOT IPs,186.65.114.53
bot_ip,Botscout BOT IPs,190.185.109.115
bot_ip,Botscout BOT IPs,200.71.127.65
bot_ip,Botscout BOT IPs,186.65.115.80
bot_ip,Botscout BOT IPs,120.220.197.195
bot_ip,Botscout BOT IPs,185.230.44.144
bot_ip,Botscout BOT IPs,190.185.108.215
bot_ip,Botscout BOT IPs,95.164.108.65
bot_ip,Botscout BOT IPs,94.131.54.237
bot_ip,Botscout BOT IPs,138.59.5.154
bot_ip,Botscout BOT IPs,138.59.5.69
bot_ip,Botscout BOT IPs,94.131.50.252
bot_ip,Botscout BOT IPs,200.71.126.243
bot_ip,Botscout BOT IPs,138.59.4.253
bot_ip,Botscout BOT IPs,156.228.184.172
bot_ip,Botscout BOT IPs,156.228.107.8
bot_ip,Botscout BOT IPs,156.228.180.149
phish_email,FirstEnergy,sup.logical@gmail.com.exe
phish_md5,FirstEnergy,654010478bd5384421502d6bc0be267c
phish_md5,FirstEnergy,3a0ab5c065a213ec77176d5a29720d5b7254a89625b6caa53507c8456f0be456
phish_md5,FirstEnergy,06d4f7ab8b046d7a2f7de58ca8e0e102e8ec2f8ad5266ea388eb38e3beb20060
phish_md5,FirstEnergy,9577ed9a21e32789d25bcadd09703b13
phish_md5,FirstEnergy,3f2c2ae1759886ec1f6f040e008c64f42b168c1c
phish_md5,FirstEnergy,b6352bba762081cdb61e89c0f1893018
phish_md5,FirstEnergy,0a18d66e3f72e21b9a507739dbeb009d017dcfe0
phish_md5,FirstEnergy,4b1a68c52bf2b22c359d6e321177789c1cc622c7
phish_md5,FirstEnergy,92ac711db16da541e06c5195050f6fbd8915255c79ded58f70ba030d37135ceb
phish_md5,FirstEnergy,bfc3dfd07dcf918bb87126fac4c62e7c
phish_md5,FirstEnergy,ef2dfff6121e80e3fa88f86da7941f3e9a613f1ed43188be1d8df0a9b39c33cd
phish_md5,FirstEnergy,89895cf4c88f13e5797aab63dddf1078
phish_md5,FirstEnergy,e32bd4cae173c01e8e3ff301bbd36737a145c74b
phish_md5,FirstEnergy,eca35de255324f27872ea348989b3396
phish_md5,FirstEnergy,a6899e52a826562cfeab878f9c2d3f9e8651fd78
phish_md5,FirstEnergy,4a2c7a6e80aa8af90a646589940a34978cc0c803
phish_md5,FirstEnergy,af87d850a15f1fbde5e824116e1f174b
phish_md5,FirstEnergy,ec2d08185ac51b596a313a79b2c3df914debe1e7
phish_md5,FirstEnergy,197d5c9c5cbf53ed3e78d53a008b6ad665fa3e4c
phish_md5,FirstEnergy,2c85d7c4dd069fff494edd19387d56e54a52f6ef1b557f3d775f999410eb5a4d
phish_md5,FirstEnergy,c870ba25f44c51987b6d4037448b82e5
phish_md5,FirstEnergy,59c82114fabd1e1f3197ec1c5ad822c5
phish_md5,FirstEnergy,5c7fc2734cd27859a6f05a563e417379139e872f
phish_md5,FirstEnergy,75d55564986c8fb2d24c2f467e9c0cd2196a2055
phish_md5,FirstEnergy,1f1a1658d4822972251f14af7229cd39
phish_md5,FirstEnergy,9d704094e5f7386104dc5b7b155768fbac9fc0f9
phish_md5,FirstEnergy,38fb9ac2e51d04182faf81afbef08ab8
phish_md5,FirstEnergy,870fd781a201608756e20d4a156a48da
phish_md5,FirstEnergy,df920c349a310f6a1532ed05f524f400e85603b3
phish_md5,FirstEnergy,28c3c50d115d2b8ffc7ba0a8de9572fbe307907aaae3a486aabd8c0266e9426f
phish_md5,FirstEnergy,f76d907ca3817a8b2967790315265469
phish_md5,FirstEnergy,91be75dc4311c405c0267df327330fdaf585ba9b
phish_md5,FirstEnergy,deb43e7f95ff24a190394c9c92b56c33d31fd10c9a52c19694c5d45b2a60b7b5
phish_md5,FirstEnergy,99668a82a34ec17340fccecbc2ef0985b84704a0
phish_md5,FirstEnergy,186f047884470f4ec1376b4011746f13
phish_md5,FirstEnergy,40306b615af659fc1f93cfb121cc38d9
phish_md5,FirstEnergy,2e96b64287a0b741837c9f8179e8e1596d0f854d66108b38e4b84cc71c02e6c3
phish_md5,FirstEnergy,c7ee04bf3e42640ef6b5015b8af01f4f
phish_md5,FirstEnergy,e7a958a1ec25507ef4e7780f28cd9d575690438e
phish_md5,FirstEnergy,c20200ae3c8acb3aa23a9097b6099739
phish_md5,FirstEnergy,2e4c216c7d987e5c0655e5180f0c93d3
phish_md5,FirstEnergy,a8894d8a71082d2a2d8799129eada9db0b280fce75945f4323e230ec26ec28d0
phish_md5,FirstEnergy,f7f679420671b7e18677831d4d276277
phish_md5,FirstEnergy,0dcbb7c7af77efd4a2b39f2303806fcd
phish_md5,FirstEnergy,3dc9bad7720a01598aa14e55baca7413
phish_md5,FirstEnergy,df1e348372d344568c4505dca7846e77
phish_md5,FirstEnergy,55845e687ddcd2c133d6e30802be2dcc54f27fb8abb894229f76b0767ce56567
phish_md5,FirstEnergy,8115e1b1cc59f6173b1216df9839ee03
phish_md5,FirstEnergy,1c16b204dd52d4d3fab6113f20a43c29ff74db2746798b88bfd8f4214ac95cc5
phish_md5,FirstEnergy,edbc0337cc897a187d263d79c09c15c7
phish_md5,FirstEnergy,fd7b0d1539ab765a70828f984d33209e
phish_md5,FirstEnergy,6891ccff8e2a1c8fcbc89d7e34b7ce715b22df23ab4a157389d1bea76cfc13d8
phish_md5,FirstEnergy,38062faccdc2d923880f814ff6263baaea01162d
phish_md5,FirstEnergy,a54a38a9aab0bde31b2065d8b88a8e6569cc66c3f6137379b6b5a62361c319f0
phish_md5,FirstEnergy,b53a2e87ac17942649c2fc60f3247c898faf563d84f596344cfacd03350b031a
phish_md5,FirstEnergy,d7d28006e0679b1f2ea0a87ba94f4af0
phish_md5,FirstEnergy,8bae89f6d3b8376048643397408e63942fd66f27
phish_md5,FirstEnergy,57ebf50902949e13220b379c136db8a7
phish_md5,FirstEnergy,d8029e1465ce1c847c658c71f7711bde
phish_md5,FirstEnergy,16c96ca8b1617afc19769e2b8f641019c743772e
phish_md5,FirstEnergy,4998131d9da04240464355e09181f10dc42234fc08f58d710b4d821ea89fc635
phish_md5,FirstEnergy,0341ab8139cf2bea05d76ebac2060c1ab0c7922404172b9f8d73ba09b08b4fc9
phish_md5,FirstEnergy,692027110b8ee95d1e3e3824f99b3801
phish_md5,FirstEnergy,5a07502eb5e854aa8bd883453fc9decb
phish_md5,FirstEnergy,3ab278f6f4ae48b8616f55c4b445ce2349b03a68
phish_md5,FirstEnergy,3dfa97751d9b74984c353be2f1da5508
phish_md5,FirstEnergy,d299c7293370f6bb838eed84a85a2f4b
phish_md5,FirstEnergy,ae046000803108dcadc0ab4759c81deb07cd5a4d
phish_md5,FirstEnergy,0f1011748dfff6a0d0f0c0b9b8bc045da54080a6
phish_md5,FirstEnergy,b2adca307d1f5d1c92cfcdac269ccf269bd8155a
phish_md5,FirstEnergy,c641e79ae3fa662a639f4fa3a0cb8723030c114bfb2d7ffad488de73afd574ce
phish_md5,FirstEnergy,afec2b2af3ace2c478382f9366f6cbc9b9579f2c9a4273150fc33a2ccd59284c
phish_md5,FirstEnergy,59d4c636a8755921e07565ffd77afbaa
phish_md5,FirstEnergy,d2e26e45dcb84f1062f90f29a9cf0faa
phish_md5,FirstEnergy,3d320aedb4dde84e584b539b62b98497
phish_md5,FirstEnergy,3870e4591ce517d956771e23c361582d
phish_md5,FirstEnergy,8ed24ddbcd88141fb1934ea20761b97d7cbdcb4e5042f6e1d893ed817a5b4a89
phish_md5,FirstEnergy,850eeffd94d700a58c313f23a60c01ff8ec46da1
phish_md5,FirstEnergy,df138c96b45614d5224eb00d3051ac7078fa12cf3e26dd86d9469f687c133dd9
